unit_id,canonical_name,region,unit_kind,laterality_model,instance_pattern,verification_status,notes
sternocleidomastoid,Sternocleidomastoid,neck,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
scalenus_anterior,Scalenus Anterior,neck,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
scalenus_medius,Scalenus Medius,neck,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
scalenus_posterior,Scalenus Posterior,neck,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
digastric,Digastric,neck,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
stylohyoid,Stylohyoid,neck,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
mylohyoid,Mylohyoid,neck,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
geniohyoid,Geniohyoid,neck,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
sternohyoid,Sternohyoid,neck,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
omohyoid,Omohyoid,neck,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
