entity_id,entity_type,parent_unit_id,ta2_latin_term,ta2_english_term,ta2_term_number,term_status,source_id,notes
sternocleidomastoid,UNIT,sternocleidomastoid,Musculus sternocleidomastoideus,Sternocleidomastoid muscle,2156,FORMAL_TA2_TERM,FIPAT_TA2_2019,TA2 Part 2 p57
sternocleidomastoid_sternal_head,SEGMENT,sternocleidomastoid,Caput sternale musculi sternocleidomastoidei,Sternal head of sternocleidomastoid muscle,2157,FORMAL_TA2_TERM,FIPAT_TA2_2019,TA2 Part 2 p57
sternocleidomastoid_clavicular_head,SEGMENT,sternocleidomastoid,Caput claviculare musculi sternocleidomastoidei,Clavicular head of sternocleidomastoid muscle,2158,FORMAL_TA2_TERM,FIPAT_TA2_2019,TA2 Part 2 p57
digastric,UNIT,digastric,Musculus digastricus,Digastric muscle,2160,FORMAL_TA2_TERM,FIPAT_TA2_2019,TA2 Part 2 p57
digastric_anterior_belly,SEGMENT,digastric,Venter anterior musculi digastrici,Anterior belly of digastric muscle,2161,FORMAL_TA2_TERM,FIPAT_TA2_2019,TA2 Part 2 p57
digastric_posterior_belly,SEGMENT,digastric,Venter posterior musculi digastrici,Posterior belly of digastric muscle,2163,FORMAL_TA2_TERM,FIPAT_TA2_2019,TA2 Part 2 p57
omohyoid,UNIT,omohyoid,Musculus omohyoideus,Omohyoid muscle,2169,FORMAL_TA2_TERM,FIPAT_TA2_2019,TA2 Part 2 p57-58
omohyoid_superior_belly,SEGMENT,omohyoid,Venter superior musculi omohyoidei,Superior belly of omohyoid muscle,2170,FORMAL_TA2_TERM,FIPAT_TA2_2019,TA2 Part 2 p57
omohyoid_inferior_belly,SEGMENT,omohyoid,Venter inferior musculi omohyoidei,Inferior belly of omohyoid muscle,2172,FORMAL_TA2_TERM,FIPAT_TA2_2019,TA2 Part 2 p58
trapezius,UNIT,trapezius,Musculus trapezius,Trapezius muscle,2226,FORMAL_TA2_TERM,FIPAT_TA2_2019,TA2 Part 2 p60
trapezius_descending_part,SEGMENT,trapezius,Pars descendens musculi trapezii,Descending part of trapezius muscle,2227,FORMAL_TA2_TERM,FIPAT_TA2_2019,TA2 Part 2 p60
trapezius_transverse_part,SEGMENT,trapezius,Pars transversa musculi trapezii,Transverse part of trapezius muscle,2228,FORMAL_TA2_TERM,FIPAT_TA2_2019,TA2 Part 2 p60
trapezius_ascending_part,SEGMENT,trapezius,Pars ascendens musculi trapezii,Ascending part of trapezius muscle,2229,FORMAL_TA2_TERM,FIPAT_TA2_2019,TA2 Part 2 p60
