observation_id,source_id,entity_type,entity_id,variable,mean,sd,unit,sex,n,age_summary,measurement_method,value_status,population_compatibility,reference_eligibility,method_context,notes
ward_2009_psoas_pcsa,WARD_2009,UNIT,psoas_major,PCSA_SOURCE_NATIVE,7.7,2.3,cm2,MIXED,21,~82.5 y mean,cadaveric architecture + sarcomere normalisation,PUBLISHED_DERIVED,ELDERLY_MIXED,CONTEXT_ONLY,Source-native PCSA,Broad architecture fallback only.
ward_2009_iliacus_pcsa,WARD_2009,UNIT,iliacus,PCSA_SOURCE_NATIVE,9.9,3.4,cm2,MIXED,21,~82.5 y mean,cadaveric architecture + sarcomere normalisation,PUBLISHED_DERIVED,ELDERLY_MIXED,CONTEXT_ONLY,Source-native PCSA,
ward_2009_gluteus_maximus_pcsa,WARD_2009,UNIT,gluteus_maximus,PCSA_SOURCE_NATIVE,33.4,8.8,cm2,MIXED,21,~82.5 y mean,cadaveric architecture + sarcomere normalisation,PUBLISHED_DERIVED,ELDERLY_MIXED,CONTEXT_ONLY,Source-native PCSA,
ward_2009_gluteus_medius_pcsa,WARD_2009,UNIT,gluteus_medius,PCSA_SOURCE_NATIVE,33.8,14.4,cm2,MIXED,21,~82.5 y mean,cadaveric architecture + sarcomere normalisation,PUBLISHED_DERIVED,ELDERLY_MIXED,CONTEXT_ONLY,Source-native PCSA,Whole parent only; do not divide into anterior/middle/posterior regions.
ward_2009_sartorius_pcsa,WARD_2009,UNIT,sartorius,PCSA_SOURCE_NATIVE,1.9,0.7,cm2,MIXED,21,~82.5 y mean,cadaveric architecture + sarcomere normalisation,PUBLISHED_DERIVED,ELDERLY_MIXED,CONTEXT_ONLY,Source-native PCSA,
ward_2009_rectus_femoris_pcsa,WARD_2009,UNIT,rectus_femoris,PCSA_SOURCE_NATIVE,13.5,5.0,cm2,MIXED,21,~82.5 y mean,cadaveric architecture + sarcomere normalisation,PUBLISHED_DERIVED,ELDERLY_MIXED,CONTEXT_ONLY,Source-native PCSA,Whole muscle only; direct/reflected tendon heads are not independent training states.
ward_2009_vastus_lateralis_pcsa,WARD_2009,UNIT,vastus_lateralis,PCSA_SOURCE_NATIVE,35.1,16.1,cm2,MIXED,21,~82.5 y mean,cadaveric architecture + sarcomere normalisation,PUBLISHED_DERIVED,ELDERLY_MIXED,CONTEXT_ONLY,Source-native PCSA,
ward_2009_vastus_intermedius_pcsa,WARD_2009,UNIT,vastus_intermedius,PCSA_SOURCE_NATIVE,16.7,6.9,cm2,MIXED,21,~82.5 y mean,cadaveric architecture + sarcomere normalisation,PUBLISHED_DERIVED,ELDERLY_MIXED,CONTEXT_ONLY,Source-native PCSA,
ward_2009_vastus_medialis_pcsa,WARD_2009,UNIT,vastus_medialis,PCSA_SOURCE_NATIVE,20.6,7.2,cm2,MIXED,21,~82.5 y mean,cadaveric architecture + sarcomere normalisation,PUBLISHED_DERIVED,ELDERLY_MIXED,CONTEXT_ONLY,Source-native PCSA,
ward_2009_gracilis_pcsa,WARD_2009,UNIT,gracilis,PCSA_SOURCE_NATIVE,2.2,0.8,cm2,MIXED,21,~82.5 y mean,cadaveric architecture + sarcomere normalisation,PUBLISHED_DERIVED,ELDERLY_MIXED,CONTEXT_ONLY,Source-native PCSA,
ward_2009_adductor_longus_pcsa,WARD_2009,UNIT,adductor_longus,PCSA_SOURCE_NATIVE,6.5,2.2,cm2,MIXED,21,~82.5 y mean,cadaveric architecture + sarcomere normalisation,PUBLISHED_DERIVED,ELDERLY_MIXED,CONTEXT_ONLY,Source-native PCSA,
ward_2009_adductor_brevis_pcsa,WARD_2009,UNIT,adductor_brevis,PCSA_SOURCE_NATIVE,5.0,2.1,cm2,MIXED,21,~82.5 y mean,cadaveric architecture + sarcomere normalisation,PUBLISHED_DERIVED,ELDERLY_MIXED,CONTEXT_ONLY,Source-native PCSA,
ward_2009_adductor_magnus_pcsa,WARD_2009,UNIT,adductor_magnus,PCSA_SOURCE_NATIVE,20.5,7.8,cm2,MIXED,21,~82.5 y mean,cadaveric architecture + sarcomere normalisation,PUBLISHED_DERIVED,ELDERLY_MIXED,CONTEXT_ONLY,Source-native PCSA,Whole parent only; no two-part split.
