observation_id,source_id,entity_type,entity_id,variable,mean,sd,unit,sex,n,age_summary,measurement_method,value_status,population_compatibility,reference_eligibility,method_context,notes
charles_2019_adductor_magnus_volume_mean,CHARLES_2019,UNIT,adductor_magnus,VOLUME_MEAN,567,186,cm3,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,T1 MRI segmentation,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_adductor_magnus_muscle_length_mean,CHARLES_2019,UNIT,adductor_magnus,MUSCLE_LENGTH_MEAN,303,31,mm,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,3D muscle mesh / anatomical T1 MRI,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_adductor_magnus_optimal_fibre_length_mean,CHARLES_2019,UNIT,adductor_magnus,OPTIMAL_FIBRE_LENGTH_MEAN,231,61,mm,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,PUBLISHED_DERIVED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,DTI tract length sarcomere-normalised using Ward et al. sarcomere lengths and 2.7 μm optimum,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_adductor_magnus_pennation_mean,CHARLES_2019,UNIT,adductor_magnus,PENNATION_MEAN,12,3,deg,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,Five superficial 2D pennation measurements across proximal/middle/distal regions relative to estimated muscle line of action,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_adductor_magnus_pcsa_mean,CHARLES_2019,UNIT,adductor_magnus,PCSA_MEAN,2524,859,mm2,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,PUBLISHED_DERIVED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,"Source-native PCSA calculated from muscle volume, optimal fibre length and pennation",Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_adductor_longus_volume_mean,CHARLES_2019,UNIT,adductor_longus,VOLUME_MEAN,159,56,cm3,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,T1 MRI segmentation,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_adductor_longus_muscle_length_mean,CHARLES_2019,UNIT,adductor_longus,MUSCLE_LENGTH_MEAN,219,27,mm,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,3D muscle mesh / anatomical T1 MRI,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_adductor_longus_optimal_fibre_length_mean,CHARLES_2019,UNIT,adductor_longus,OPTIMAL_FIBRE_LENGTH_MEAN,110,27,mm,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,PUBLISHED_DERIVED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,DTI tract length sarcomere-normalised using Ward et al. sarcomere lengths and 2.7 μm optimum,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_adductor_longus_pennation_mean,CHARLES_2019,UNIT,adductor_longus,PENNATION_MEAN,12,2,deg,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,Five superficial 2D pennation measurements across proximal/middle/distal regions relative to estimated muscle line of action,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_adductor_longus_pcsa_mean,CHARLES_2019,UNIT,adductor_longus,PCSA_MEAN,1470,528,mm2,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,PUBLISHED_DERIVED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,"Source-native PCSA calculated from muscle volume, optimal fibre length and pennation",Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_adductor_brevis_volume_mean,CHARLES_2019,UNIT,adductor_brevis,VOLUME_MEAN,93,21,cm3,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,T1 MRI segmentation,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_adductor_brevis_muscle_length_mean,CHARLES_2019,UNIT,adductor_brevis,MUSCLE_LENGTH_MEAN,151,28,mm,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,3D muscle mesh / anatomical T1 MRI,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_adductor_brevis_optimal_fibre_length_mean,CHARLES_2019,UNIT,adductor_brevis,OPTIMAL_FIBRE_LENGTH_MEAN,76,22,mm,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,PUBLISHED_DERIVED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,DTI tract length sarcomere-normalised using Ward et al. sarcomere lengths and 2.7 μm optimum,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_adductor_brevis_pennation_mean,CHARLES_2019,UNIT,adductor_brevis,PENNATION_MEAN,11,2,deg,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,Five superficial 2D pennation measurements across proximal/middle/distal regions relative to estimated muscle line of action,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_adductor_brevis_pcsa_mean,CHARLES_2019,UNIT,adductor_brevis,PCSA_MEAN,1268,369,mm2,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,PUBLISHED_DERIVED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,"Source-native PCSA calculated from muscle volume, optimal fibre length and pennation",Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
