observation_id,source_id,entity_type,entity_id,variable,mean,sd,unit,sex,n,age_summary,measurement_method,value_status,population_compatibility,reference_eligibility,notes
riem_2026_levator_scapulae,RIEM_2026,UNIT,levator_scapulae,VOLUME_MEAN,53.76,9.02,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_infraspinatus_teres_minor_aggregate,RIEM_2026,SOURCE_AGGREGATE,riem_infraspinatus_teres_minor_aggregate,VOLUME_MEAN,197.86,35.62,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,CONTEXT_ONLY_COMPOSITE,Primary-source Table 3 male mean ± SD. Source ROI is composite; do not split without a compatible resolving source.
riem_2026_pectoralis_minor,RIEM_2026,UNIT,pectoralis_minor,VOLUME_MEAN,55.84,11.14,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_pectoralis_major,RIEM_2026,UNIT,pectoralis_major,VOLUME_MEAN,424.28,102.17,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_deltoid,RIEM_2026,UNIT,deltoid,VOLUME_MEAN,493.77,96.83,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_triceps_brachii,RIEM_2026,UNIT,triceps_brachii,VOLUME_MEAN,496.46,111.70,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_coracobrachialis,RIEM_2026,UNIT,coracobrachialis,VOLUME_MEAN,35.84,7.39,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_biceps_brachii,RIEM_2026,UNIT,biceps_brachii,VOLUME_MEAN,203.63,48.26,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_brachialis,RIEM_2026,UNIT,brachialis,VOLUME_MEAN,158.67,33.26,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_brachioradialis,RIEM_2026,UNIT,brachioradialis,VOLUME_MEAN,82.24,17.78,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_ecrl_ecrb_aggregate,RIEM_2026,SOURCE_AGGREGATE,riem_ecrl_ecrb_aggregate,VOLUME_MEAN,70.01,12.46,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,CONTEXT_ONLY_COMPOSITE,Primary-source Table 3 male mean ± SD. Source ROI is composite; do not split without a compatible resolving source.
riem_2026_anconeus,RIEM_2026,UNIT,anconeus,VOLUME_MEAN,11.02,2.53,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_digit_extensors_aggregate,RIEM_2026,SOURCE_AGGREGATE,riem_digit_extensors_aggregate,VOLUME_MEAN,48.14,10.71,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,CONTEXT_ONLY_COMPOSITE,Primary-source Table 3 male mean ± SD. Source ROI is composite; do not split without a compatible resolving source.
riem_2026_extensor_carpi_ulnaris,RIEM_2026,UNIT,extensor_carpi_ulnaris,VOLUME_MEAN,23.10,6.08,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_deep_forearm_extensors_aggregate,RIEM_2026,SOURCE_AGGREGATE,riem_deep_forearm_extensors_aggregate,VOLUME_MEAN,38.31,6.75,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,CONTEXT_ONLY_COMPOSITE,Primary-source Table 3 male mean ± SD. Source ROI is composite; do not split without a compatible resolving source.
riem_2026_supinator,RIEM_2026,UNIT,supinator,VOLUME_MEAN,19.55,5.04,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_pronator_teres,RIEM_2026,UNIT,pronator_teres,VOLUME_MEAN,43.53,9.73,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_fcr_palmaris_aggregate,RIEM_2026,SOURCE_AGGREGATE,riem_fcr_palmaris_aggregate,VOLUME_MEAN,61.97,13.90,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,CONTEXT_ONLY_COMPOSITE,Primary-source Table 3 male mean ± SD. Source ROI is composite; do not split without a compatible resolving source.
riem_2026_flexor_digitorum_superficialis,RIEM_2026,UNIT,flexor_digitorum_superficialis,VOLUME_MEAN,78.78,14.50,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_flexor_carpi_ulnaris,RIEM_2026,UNIT,flexor_carpi_ulnaris,VOLUME_MEAN,46.06,9.97,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
