observation_id,source_id,entity_type,entity_id,variable,mean,sd,unit,sex,n,age_summary,measurement_method,value_status,population_compatibility,reference_eligibility,method_context,notes
stiver_2021_trapezius_desc_pcsa_fraction,STIVER_2021,SEGMENT,trapezius_descending_part,RELATIVE_PARENT_PCSA,0.1128,,fraction,FEMALE,1,72 y,3-D cadaveric fibre-bundle reconstruction,PUBLISHED_SUMMARY,ELDERLY_SINGLE_SPECIMEN,WEAK_MODEL_PRIOR,Adult bilateral mean from source Table 3,Directly part-resolved but extremely small demographic sample.
stiver_2021_trapezius_trans_pcsa_fraction,STIVER_2021,SEGMENT,trapezius_transverse_part,RELATIVE_PARENT_PCSA,0.5268,,fraction,FEMALE,1,72 y,3-D cadaveric fibre-bundle reconstruction,PUBLISHED_SUMMARY,ELDERLY_SINGLE_SPECIMEN,WEAK_MODEL_PRIOR,Adult bilateral mean from source Table 3,Directly part-resolved but extremely small demographic sample.
stiver_2021_trapezius_asc_pcsa_fraction,STIVER_2021,SEGMENT,trapezius_ascending_part,RELATIVE_PARENT_PCSA,0.3605,,fraction,FEMALE,1,72 y,3-D cadaveric fibre-bundle reconstruction,PUBLISHED_SUMMARY,ELDERLY_SINGLE_SPECIMEN,WEAK_MODEL_PRIOR,Adult bilateral mean from source Table 3,Directly part-resolved but extremely small demographic sample.
stiver_2021_trapezius_desc_volume_fraction,STIVER_2021,SEGMENT,trapezius_descending_part,RELATIVE_PARENT_VOLUME,0.1588,,fraction,FEMALE,1,72 y,3-D cadaveric fibre-bundle reconstruction,PUBLISHED_SUMMARY,ELDERLY_SINGLE_SPECIMEN,CONTEXT_ONLY,Adult bilateral mean from source Table 3,Do not silently combine this fraction with Riem adult-male parent volume as measured male segment volume.
stiver_2021_trapezius_trans_volume_fraction,STIVER_2021,SEGMENT,trapezius_transverse_part,RELATIVE_PARENT_VOLUME,0.4223,,fraction,FEMALE,1,72 y,3-D cadaveric fibre-bundle reconstruction,PUBLISHED_SUMMARY,ELDERLY_SINGLE_SPECIMEN,CONTEXT_ONLY,Adult bilateral mean from source Table 3,Do not silently combine this fraction with Riem adult-male parent volume as measured male segment volume.
stiver_2021_trapezius_asc_volume_fraction,STIVER_2021,SEGMENT,trapezius_ascending_part,RELATIVE_PARENT_VOLUME,0.4190,,fraction,FEMALE,1,72 y,3-D cadaveric fibre-bundle reconstruction,PUBLISHED_SUMMARY,ELDERLY_SINGLE_SPECIMEN,CONTEXT_ONLY,Adult bilateral mean from source Table 3,Do not silently combine this fraction with Riem adult-male parent volume as measured male segment volume.
fung_2009_pec_clavicular_pennation,FUNG_2009,SEGMENT,pectoralis_major_clavicular_part,PENNATION_LATERAL_MEAN,29.4,6.9,deg,MIXED,11,adult cadavers,3-D digitisation / architectural dissection,MEASURED,CADAVERIC_MIXED,CONTEXT_ONLY,Clavicular component lateral pennation,Maps cleanly to clavicular part.
fung_2009_pec_sternal_pennation,FUNG_2009,SEGMENT,pectoralis_major_sternocostal_part,PENNATION_LATERAL_MEAN,20.6,2.7,deg,MIXED,11,adult cadavers,3-D digitisation / architectural dissection,MEASURED,CADAVERIC_MIXED,CONTEXT_ONLY,Sternal component lateral pennation,Source sternal definition is not an exact three-way crosswalk to My Mettle sternocostal plus abdominal parts; retain context only.
ward_2009_bflh_pcsa,WARD_2009,SEGMENT,biceps_femoris_long_head,PCSA_SOURCE_NATIVE,11.3,4.8,cm2,MIXED,21,~82.5 y mean,cadaveric architecture + sarcomere normalisation,PUBLISHED_DERIVED,ELDERLY_MIXED,CONTEXT_ONLY,Source-native PCSA,Direct head-resolution; useful cross-check against newer hamstring architecture.
ward_2009_bfsh_pcsa,WARD_2009,SEGMENT,biceps_femoris_short_head,PCSA_SOURCE_NATIVE,5.1,1.7,cm2,MIXED,21,~82.5 y mean,cadaveric architecture + sarcomere normalisation,PUBLISHED_DERIVED,ELDERLY_MIXED,CONTEXT_ONLY,Source-native PCSA,Direct head-resolution.
ward_2009_gastro_medial_pcsa,WARD_2009,SEGMENT,gastrocnemius_medial_head,PCSA_SOURCE_NATIVE,21.1,5.7,cm2,MIXED,21,~82.5 y mean,cadaveric architecture + sarcomere normalisation,PUBLISHED_DERIVED,ELDERLY_MIXED,CONTEXT_ONLY,Source-native PCSA,Direct head-resolution; superseded as preferred reference by direct adult-male in-vivo evidence.
ward_2009_gastro_lateral_pcsa,WARD_2009,SEGMENT,gastrocnemius_lateral_head,PCSA_SOURCE_NATIVE,9.7,3.3,cm2,MIXED,21,~82.5 y mean,cadaveric architecture + sarcomere normalisation,PUBLISHED_DERIVED,ELDERLY_MIXED,CONTEXT_ONLY,Source-native PCSA,Direct head-resolution; superseded as preferred reference by direct adult-male in-vivo evidence.
hamstring_2023_bflh_pcsa,HAMSTRING_2023,SEGMENT,biceps_femoris_long_head,PCSA_SOURCE_NATIVE,8.04,,cm2,UNRESOLVED,UNRESOLVED,older cadaver cohort,high-resolution architecture / sarcomere analysis,PUBLISHED_DERIVED,CADAVERIC_CONTEXT,CONTEXT_ONLY,Direct head-resolution,Population metadata must be normalised before any stronger reference status.
hamstring_2023_bfsh_pcsa,HAMSTRING_2023,SEGMENT,biceps_femoris_short_head,PCSA_SOURCE_NATIVE,2.04,,cm2,UNRESOLVED,UNRESOLVED,older cadaver cohort,high-resolution architecture / sarcomere analysis,PUBLISHED_DERIVED,CADAVERIC_CONTEXT,CONTEXT_ONLY,Direct head-resolution,Population metadata must be normalised before any stronger reference status.
hamstring_2023_bflh_pennation,HAMSTRING_2023,SEGMENT,biceps_femoris_long_head,PENNATION_MEAN,10.31,,deg,UNRESOLVED,UNRESOLVED,older cadaver cohort,high-resolution architecture / sarcomere analysis,MEASURED,CADAVERIC_CONTEXT,CONTEXT_ONLY,Direct head-resolution,
hamstring_2023_bfsh_pennation,HAMSTRING_2023,SEGMENT,biceps_femoris_short_head,PENNATION_MEAN,19.16,,deg,UNRESOLVED,UNRESOLVED,older cadaver cohort,high-resolution architecture / sarcomere analysis,MEASURED,CADAVERIC_CONTEXT,CONTEXT_ONLY,Direct head-resolution,
hamstring_2023_bflh_fibre_muscle_ratio,HAMSTRING_2023,SEGMENT,biceps_femoris_long_head,FIBRE_TO_MUSCLE_LENGTH_RATIO,0.28,,ratio,UNRESOLVED,UNRESOLVED,older cadaver cohort,high-resolution architecture / sarcomere analysis,MEASURED,CADAVERIC_CONTEXT,CONTEXT_ONLY,Direct head-resolution,
hamstring_2023_bfsh_fibre_muscle_ratio,HAMSTRING_2023,SEGMENT,biceps_femoris_short_head,FIBRE_TO_MUSCLE_LENGTH_RATIO,0.45,,ratio,UNRESOLVED,UNRESOLVED,older cadaver cohort,high-resolution architecture / sarcomere analysis,MEASURED,CADAVERIC_CONTEXT,CONTEXT_ONLY,Direct head-resolution,
hamstring_2023_bflh_sarcomere,HAMSTRING_2023,SEGMENT,biceps_femoris_long_head,SARCOMERE_LENGTH_MEAN,2.20,,um,UNRESOLVED,UNRESOLVED,older cadaver cohort,laser diffraction / architecture,MEASURED,CADAVERIC_CONTEXT,CONTEXT_ONLY,Direct head-resolution,
hamstring_2023_bfsh_sarcomere,HAMSTRING_2023,SEGMENT,biceps_femoris_short_head,SARCOMERE_LENGTH_MEAN,3.23,,um,UNRESOLVED,UNRESOLVED,older cadaver cohort,laser diffraction / architecture,MEASURED,CADAVERIC_CONTEXT,CONTEXT_ONLY,Direct head-resolution,
narici_2003_gm_acsa,NARICI_2003_GM,SEGMENT,gastrocnemius_medial_head,ACSA_MAX_MEAN,17.4,2.8,cm2,MALE,14,27-42 y,CT morphology + B-mode ultrasound,MEASURED,ADULT_MALE_EXACT,REFERENCE_ELIGIBLE,Young-group Table 1,Direct adult-male medial-head architecture.
narici_2003_gm_volume,NARICI_2003_GM,SEGMENT,gastrocnemius_medial_head,VOLUME_MEAN,279.3,59.3,cm3,MALE,14,27-42 y,CT morphology + B-mode ultrasound,MEASURED,ADULT_MALE_EXACT,REFERENCE_ELIGIBLE,Young-group Table 1,Independent morphology cross-check; Riem remains primary morphology backbone.
narici_2003_gm_fascicle,NARICI_2003_GM,SEGMENT,gastrocnemius_medial_head,FASCICLE_LENGTH_MEAN,4.78,0.55,cm,MALE,14,27-42 y,CT morphology + B-mode ultrasound,MEASURED,ADULT_MALE_EXACT,REFERENCE_ELIGIBLE,Young-group Table 1,Posture/state follows source protocol.
narici_2003_gm_pennation,NARICI_2003_GM,SEGMENT,gastrocnemius_medial_head,PENNATION_MEAN,27.2,4.3,deg,MALE,14,27-42 y,CT morphology + B-mode ultrasound,MEASURED,ADULT_MALE_EXACT,REFERENCE_ELIGIBLE,Young-group Table 1,Store separately from source PCSA because source PCSA is defined as volume/fascicle length.
narici_2003_gm_pcsa,NARICI_2003_GM,SEGMENT,gastrocnemius_medial_head,PCSA_SOURCE_NATIVE,59.1,14.4,cm2,MALE,14,27-42 y,CT morphology + B-mode ultrasound,PUBLISHED_DERIVED,ADULT_MALE_EXACT,REFERENCE_ELIGIBLE,PCSA = volume / fascicle length,Do not silently apply cos(pennation) twice.
morse_2008_gl_pennation_rest,MORSE_2008_GL,SEGMENT,gastrocnemius_lateral_head,PENNATION_REST_MEAN,11.5,2.3,deg,MALE,12,25.3 ± 4.4 y,MRI volume + B-mode ultrasound,MEASURED,ADULT_MALE_EXACT,REFERENCE_ELIGIBLE,Adult-men Table 1; rest,Keep contraction state explicit.
morse_2008_gl_pennation_mvc,MORSE_2008_GL,SEGMENT,gastrocnemius_lateral_head,PENNATION_MVC_MEAN,18.0,3.5,deg,MALE,12,25.3 ± 4.4 y,MRI volume + B-mode ultrasound,MEASURED,ADULT_MALE_EXACT,REFERENCE_ELIGIBLE,Adult-men Table 1; MVC,Do not merge with rest value.
morse_2008_gl_fascicle_rest,MORSE_2008_GL,SEGMENT,gastrocnemius_lateral_head,FASCICLE_LENGTH_REST_MEAN,8.80,2.18,cm,MALE,12,25.3 ± 4.4 y,MRI volume + B-mode ultrasound,MEASURED,ADULT_MALE_EXACT,REFERENCE_ELIGIBLE,Adult-men Table 1; rest,Architecture is state dependent.
morse_2008_gl_fascicle_mvc,MORSE_2008_GL,SEGMENT,gastrocnemius_lateral_head,FASCICLE_LENGTH_MVC_MEAN,5.5,1.1,cm,MALE,12,25.3 ± 4.4 y,MRI volume + B-mode ultrasound,MEASURED,ADULT_MALE_EXACT,REFERENCE_ELIGIBLE,Adult-men Table 1; MVC,Architecture is state dependent.
morse_2008_gl_volume,MORSE_2008_GL,SEGMENT,gastrocnemius_lateral_head,VOLUME_MEAN,178.9,40.5,cm3,MALE,12,25.3 ± 4.4 y,MRI volume + B-mode ultrasound,MEASURED,ADULT_MALE_EXACT,REFERENCE_ELIGIBLE,Adult-men Table 1,Independent morphology cross-check; Riem remains primary morphology backbone.
morse_2008_gl_acsa,MORSE_2008_GL,SEGMENT,gastrocnemius_lateral_head,ACSA_MEAN,12.1,1.9,cm2,MALE,12,25.3 ± 4.4 y,MRI volume + B-mode ultrasound,MEASURED,ADULT_MALE_EXACT,REFERENCE_ELIGIBLE,Adult-men Table 1,
morse_2008_gl_pcsa,MORSE_2008_GL,SEGMENT,gastrocnemius_lateral_head,PCSA_SOURCE_NATIVE,32.3,5.8,cm2,MALE,12,25.3 ± 4.4 y,MRI volume + B-mode ultrasound,PUBLISHED_DERIVED,ADULT_MALE_EXACT,REFERENCE_ELIGIBLE,PCSA = volume / fascicle length under source condition,Do not mix source-native PCSA definition with My Mettle effective-PCSA convention.
morse_2008_gl_specific_force,MORSE_2008_GL,SEGMENT,gastrocnemius_lateral_head,SPECIFIC_FORCE,13.1,2.0,N_per_cm2,MALE,12,25.3 ± 4.4 y,MRI/ultrasound + force/activation/moment-arm model,PUBLISHED_DERIVED,ADULT_MALE_EXACT,CONTEXT_ONLY,Adult-men Table 1,Retain as source evidence only; specific force is not a canonical v1 tissue constant.
