source_id,citation,year,doi,url,population,n,sex,age,measurement_method,coverage,variables_provided,production_role,limitations
FIPAT_TA2_2019,"FIPAT. Terminologia Anatomica. 2nd ed. Federative International Programme for Anatomical Terminology, 2019.",2019,,https://libraries.dal.ca/Fipat/ta2.html,N/A — terminology standard,,,,International anatomical terminology standard,Whole-body canonical anatomical terminology,Canonical names; formal heads/parts; synonyms; term numbers,ONTOLOGY_AUTHORITY,"Terminology establishes named anatomy, not whether a subdivision should receive an independently inferable training state."
RIEM_2026,"Riem L, Pinette M, DuCharme O, et al. Big bones mean big muscles: an MRI-based dataset of muscle-bone-body size relationships across 70 human muscles of the upper limb, trunk, and lower limb. J Appl Physiol. 2026;140:1-19.",2026,10.1152/japplphysiol.00772.2025,https://journals.physiology.org/doi/10.1152/japplphysiol.00772.2025,Active healthy adults; male subset used for reference morphology,102 total; 49 male,"Male + female, sex-stratified",18-50 y; male summary in report ~32 ± 10 y,Whole-body 3-T Dixon MRI; AI-assisted segmentation with manual review,"70 muscles/source ROIs + 13 bones across upper limb, trunk, lower limb",Muscle volume; volume fraction; fat fraction; asymmetry; muscle-bone/body-size relationships,PRIMARY_MORPHOLOGY_BACKBONE,Several source ROIs are composites; not all canonical muscles/segments are individually resolved; architecture not provided.
CHARLES_2019,"Charles JP, Suntaxi F, Anderst WJ. In vivo human lower limb muscle architecture dataset obtained using diffusion tensor imaging. PLoS ONE. 2019;14(10):e0223531.",2019,10.1371/journal.pone.0223531,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0223531,Healthy non-professionally-athletically-trained young adults,10,5 male; 5 female,27.3 ± 3.95 y,3-T MRI + DTI fibre tractography; anatomical position,20 lower-limb muscles,Muscle volume; muscle length; optimal fibre length; pennation; PCSA; modelled Fmax,PRIMARY_ARCHITECTURE_CONTEXT,Mixed-sex small cohort. Optimal fibre lengths use sarcomere lengths from Ward et al.; PCSA therefore published-derived rather than wholly direct. Not eligible as adult-male canonical mean.
WARD_2009,"Ward SR, Eng CM, Smallwood LH, Lieber RL. Are current measurements of lower extremity muscle architecture accurate? Clin Orthop Relat Res. 2009;467(4):1074-1082.",2009,10.1007/s11999-008-0594-8,https://pmc.ncbi.nlm.nih.gov/articles/PMC2650051/,Human lower-extremity cadaver specimens,21 lower extremities,9 male; 12 female,~82.5 y mean,Cadaver dissection; fibre bundles; sarcomere-normalised fibre length; pennation; PCSA,27 major lower-limb muscles,Muscle mass; muscle length; fibre length; sarcomere length; pennation; PCSA,CADAVERIC_ARCHITECTURE_BACKBONE,"Broad, internally coherent architecture dataset but elderly mixed-sex cadavers. Strong for structural relationships and segment-specific hamstring/gastrocnemius architecture; not an adult-male population prior."
STIVER_2021,"Stiver ML, et al. Three-dimensional muscle architecture of the infant and adult trapezius: a cadaveric pilot study. Anatomy. 2021;15(1):26-35.",2021,10.2399/ana.20.828627,https://dergipark.org.tr/en/pub/anatomy/issue/62515/936254,Adult pilot specimen plus infant comparison,1 adult bilateral,Adult female,72 y,Three-dimensional cadaveric fibre-bundle reconstruction,Trapezius descending; transverse; ascending parts,Fibre-bundle length; muscle volume; PCSA; segment proportions,SEGMENT_ARCHITECTURE_WEAK_PRIOR,"Only one adult specimen. Useful for the existence and order-of-magnitude of part-specific architecture and proportional PCSA; must remain high-uncertainty."
FUNG_2009,"Fung L, Wong B, Ravichandiran K, Agur A, Rindlisbacher T, Elmaraghy A. Three-dimensional study of pectoralis major muscle and tendon architecture. Clin Anat. 2009;22(4):500-508.",2009,10.1002/ca.20784,https://pubmed.ncbi.nlm.nih.gov/19306317/,Human formalin-fixed cadavers,11 total,6 male; 5 female,Adult cadavers,Three-dimensional digitisation and architectural dissection,Pectoralis major clavicular and sternal architecture; sternal subdivisions,Fibre-bundle length; pennation; 3-D fibre orientation; tendon architecture,SEGMENT_ARCHITECTURE_CONTEXT,"Resolves clavicular versus sternal architecture better than My Mettle's three-part clavicular/sternocostal/abdominal scheme. Do not manufacture an abdominal-part PCSA or volume split from this source."
MURRAY_2000,"Murray WM, Buchanan TS, Delp SL. The isometric functional capacity of muscles that cross the elbow. J Biomech. 2000;33(8):943-952.",2000,10.1016/S0021-9290(00)00051-8,https://pubmed.ncbi.nlm.nih.gov/10828324/,Unembalmed human upper extremities,10 extremities from 9 donors,Mixed/unspecified in current extraction,Adult cadavers,Cadaveric architectural dissection with sarcomere normalisation,Major elbow flexors/extensors and selected forearm muscles,Optimal fibre length; PCSA; functional capacity,UPPER_LIMB_ARCHITECTURE_CONTEXT,"Useful elbow-region architecture but incomplete for My Mettle's three triceps heads; should not be treated as a young-adult-male reference."
LIU_2014,"Architectural properties of neuromuscular compartments in selected forearm skeletal muscles. 2014.",2014,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4089342/,Human cadaver forearms,10 limbs,Mixed/unspecified in current extraction,Adult cadavers,Neuromuscular-compartment dissection and architecture measurement,FCR; FCU; ECRB; ECU; pronator teres compartments,Fascicle length; pennation; PCSA by compartment,FOREARM_COMPARTMENT_CONTEXT,"Excellent demonstration that named/neuromuscular subdivisions can have distinct architecture. My Mettle currently keeps these as SHARED_PARENT, so the values inform recruitment/mechanics rather than separate development states."
DELP_TRUNK_2001,"Architecture of rectus abdominis, quadratus lumborum, and erector spinae. 2001.",2001,,https://pubmed.ncbi.nlm.nih.gov/11182129/,Human cadavers,5,Mixed/unspecified in current extraction,Older adult cadavers,Cadaveric architectural dissection,Rectus abdominis; quadratus lumborum; erector-spinae components,Optimal fascicle length; PCSA,TRUNK_ARCHITECTURE_CONTEXT,"Small older-cadaver study. Useful where modern in-vivo architecture is unavailable; do not present as young-male canonical physiology."
LATISSIMUS_ARCH_2013,"Architectural analysis and predicted functional capability of human latissimus dorsi. 2013.",2013,,https://pmc.ncbi.nlm.nih.gov/articles/PMC3724205/,Human cadavers,12,9 male; 3 female,63 ± 11 y,Cadaveric regional architectural analysis,Latissimus dorsi whole muscle and regional origins,Fascicle length; PCSA; regional PCSA/volume contribution,LATISSIMUS_ARCHITECTURE_CONTEXT,"Shows genuine regional architecture but does not justify creating upper/lower latissimus development segments in v1."
HAMSTRING_2023,"Unique morphological architecture of the hamstring muscles. J Anat. 2023.",2023,,https://pmc.ncbi.nlm.nih.gov/articles/PMC10335370/,Human cadaver specimens,Not yet normalised in registry,Not yet normalised in registry,Older adult cadavers,High-resolution architectural and sarcomere analysis,Semimembranosus; semitendinosus; biceps femoris long and short heads,PCSA; pennation; fibre-to-muscle-length ratio; sarcomere length,HAMSTRING_SEGMENT_ARCHITECTURE,"Directly resolves biceps-femoris heads and is therefore highly relevant structurally; demographic compatibility remains poor for an adult-male reference."
FLACK_2014,"Flack NAMS, Nicholson HD, Woodley SJ. The anatomy of the hip abductor muscles. Clin Anat. 2014.",2014,,https://pubmed.ncbi.nlm.nih.gov/23897574/,Human cadavers,12,Mixed/unspecified in current extraction,Adult cadavers,Architectural and intramuscular-innervation dissection,Gluteus medius and gluteus minimus compartments,Compartment architecture; innervation; volume/morphology,GLUTEAL_COMPARTMENT_CONTEXT,"Supports compartmental organisation but identifies a more complex four-compartment pattern rather than My Mettle's deliberately coarse anterior/middle/posterior fibre regions. Do not force a 1:1 numerical mapping."
